City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Surat,IN,84.18,scattered clouds,21.1667,72.8333,HOTEL VETROINN SPICE
240,Sonoita,MX,74.79,clear sky,31.85,-112.8333,Santa Ana
241,Kroya,ID,77.36,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
243,Lagoa,PT,60.03,overcast clouds,39.05,-27.9833,Casa Das Faias
244,Pasighat,IN,72.14,scattered clouds,28.0667,95.3333,Siang Guest House
246,Springbok,ZA,65.21,clear sky,-29.6643,17.8865,Undulata Country Lodge
249,El Monte,US,88.63,clear sky,34.0686,-118.0276,"Motel 6 El Monte, CA - Los Angeles"
254,Lanas,PH,81.84,clear sky,12.0495,121.9185,Carabao Guesthouse
256,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
260,Demba,CD,75.58,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
263,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
264,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
265,Entre Rios,BR,80.94,scattered clouds,-11.9419,-38.0844,Pousada Porteira
267,Iraucuba,BR,78.96,overcast clouds,-3.7461,-39.7833,Hotel Terra da Amizade
271,Lawrenceburg,US,72.18,broken clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
272,Monrovia,LR,80.87,broken clouds,6.3005,-10.7969,Sunset Inn
273,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
274,Ormara,PK,75.99,clear sky,25.2088,64.6357,Kenara Colony house for Rent
275,Tabou,CI,80.38,light rain,4.423,-7.3528,hotêl doufoulougou
276,Arraial Do Cabo,BR,82.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
279,Ugoofaaru,MV,82.8,clear sky,5.6667,73.0,Ungoofaaru Inn
280,Les Cayes,HT,84.0,clear sky,18.2,-73.75,Villa Orphee
281,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
282,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
284,Basoko,CD,74.93,light rain,1.2391,23.616,Jackyna Hotel
285,Bacolod,PH,78.94,clear sky,10.6667,122.95,Planta Hotel & Residences
287,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
289,Jhelum,PK,73.45,scattered clouds,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
294,Metro,ID,74.97,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
296,Punta Alta,AR,63.37,thunderstorm,-38.8759,-62.0736,Center Hotel Punta Alta
300,Bontang,ID,79.72,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
303,Nong Kung Si,TH,82.56,light rain,16.65,103.3,บ้าน พี่บิ๊ก
307,Nisia Floresta,BR,88.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
308,Biak,ID,72.72,overcast clouds,-0.9131,122.8766,Penginapan Kim
313,Pulivendla,IN,84.76,scattered clouds,14.4167,78.2333,Kothabalaji
314,Bima,ID,75.97,overcast clouds,-8.4667,118.7167,Lambitu Hotel
316,Cartagena,CO,87.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
317,La Romana,DO,88.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
318,Badiraguato,MX,81.7,clear sky,25.3667,-107.5167,Restaurante La palma
319,Lima,PE,72.39,clear sky,-12.0432,-77.0282,Hotel Kamana
320,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
323,Xai-Xai,MZ,72.9,clear sky,-25.0519,33.6442,Complexo da Familia
324,Nortelandia,BR,88.05,scattered clouds,-14.4547,-56.8028,Hotel Karysmã
326,Srandakan,ID,76.91,overcast clouds,-7.9386,110.2506,Puri Brata
327,Rajshahi,BD,80.28,clear sky,24.3667,88.6,Anjum Hotel International
329,Samal,PH,78.87,broken clouds,7.0744,125.7083,Kara Kubotel @ Sunset Beach
332,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
333,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
334,Manavalakurichi,IN,80.82,clear sky,8.1333,77.3,Jebinrio home
335,San Quintin,MX,71.46,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
337,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
338,Sao Filipe,CV,71.35,clear sky,14.8961,-24.4956,Hotel Xaguate
342,Diego De Almagro,CL,80.47,clear sky,-26.3667,-70.05,hotel luna del desierto
346,Moron,AR,80.49,overcast clouds,-34.6534,-58.6198,Hotel Morón
351,Gondanglegi,ID,75.85,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
353,Ilhabela,BR,76.95,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
354,Acobamba,PE,66.11,broken clouds,-11.3525,-75.6594,Hospedaje Hacienda La Florida
357,Acajutla,SV,86.56,overcast clouds,13.5928,-89.8275,Laureles
359,Rocha,UY,76.59,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
360,Tutoia,BR,77.47,moderate rain,-2.7619,-42.2744,Pousada Guará's
362,Kulhudhuffushi,MV,82.92,clear sky,6.6221,73.07,Haajy Guest House 1
368,Port Macquarie,AU,67.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
371,Ternate,ID,77.94,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
373,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
374,Barkly West,ZA,60.08,light rain,-28.5354,24.5215,Stafford Parker Guest House
376,Harlingen,US,73.36,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
377,Nedjo,ET,70.75,scattered clouds,9.5046,35.5019,Yerosan Hotel
379,Conceicao Do Araguaia,BR,83.32,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
380,Manadhoo,MV,82.98,clear sky,5.7667,73.3833,Bon Abri maldives
381,Vaitape,PF,80.53,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
382,Gwadar,PK,76.37,clear sky,25.1216,62.3254,Sadaf Resort
384,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
385,Mumford,GH,82.33,clear sky,5.2618,-0.759,Spanish Villa
387,Kavaratti,IN,83.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
390,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
391,Yokadouma,CM,80.49,few clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
392,Hokitika,NZ,62.02,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
395,Sillod,IN,83.43,clear sky,20.3,75.65,पवन
397,Nouadhibou,MR,67.98,sand,20.931,-17.0347,El Medina
398,Boa Vista,BR,87.78,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
406,Salinopolis,BR,80.94,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
410,Jeremie,HT,82.49,scattered clouds,18.65,-74.1167,Auberge’Inn
414,Porbandar,IN,77.11,clear sky,21.6422,69.6093,Lords Inn Porbandar
415,Iracoubo,GF,76.3,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
418,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
419,Corn Island,NI,80.89,broken clouds,12.1694,-83.0418,Big Fish Guest House
421,Atocha,BO,64.0,clear sky,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
423,Labrea,BR,81.3,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
424,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
427,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
430,Matara,LK,78.04,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
431,Isiro,CD,64.36,light rain,2.7739,27.616,Guest House Hewa Bora
437,Innisfail,AU,70.77,overcast clouds,-17.5333,146.0333,Moondarra Motel
440,Tonantins,BR,84.33,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
443,Mareeba,AU,67.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
445,Kendari,ID,74.95,overcast clouds,-3.945,122.4989,Hotel Wixel
447,Fagundes,BR,86.4,scattered clouds,-7.355,-35.775,Aramy Adventure Camping
453,Gadsden,US,73.02,broken clouds,34.0143,-86.0066,Hampton Inn Gadsden
454,Dongzhen,CN,62.74,overcast clouds,22.3797,110.9389,茂名中汇时尚酒店
464,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
465,Ondjiva,AO,73.22,light rain,-17.0667,15.7333,COMBUESA
466,Kaduqli,SD,87.76,overcast clouds,11.0167,29.7167,Nussyba
467,Bac Lieu,VN,81.5,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
468,Gizo,SB,81.36,light rain,-8.103,156.8419,Imagination Island
469,La Asuncion,VE,80.24,clear sky,11.0333,-63.8628,Colinas de Matasiete
470,Colombo,LK,82.35,overcast clouds,6.9319,79.8478,Galle Face Hotel
471,Salinas,US,70.81,mist,36.6777,-121.6555,Laurel Inn & Conference Center
472,Nuevo Progreso,MX,74.53,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
473,Buala,SB,78.31,light rain,-8.145,159.5921,Maringe Lagoon Lodge
476,Cockburn Town,TC,78.01,clear sky,21.4612,-71.1419,Osprey Beach Hotel
480,Alice Springs,AU,72.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
481,Concepcion Del Oro,MX,65.89,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
482,Yanam,IN,78.12,broken clouds,16.7333,82.2167,The Regency Hotel
483,Flinders,AU,67.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
485,Joacaba,BR,65.43,moderate rain,-27.1781,-51.5047,Hotel Jaraguá
488,Makakilo City,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
489,Banjar,ID,78.21,overcast clouds,-8.19,114.9675,The Hamsa Resort
495,Bam,IR,72.19,clear sky,29.106,58.357,Bam Tourist Hotel
499,Myrtle Beach,US,77.02,overcast clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
500,Chirongui,YT,84.13,broken clouds,-12.9319,45.1483,La Villa Mahatsara
502,Rawson,AR,67.84,clear sky,-43.3002,-65.1023,Hosteria Sampedro
504,Morondava,MG,80.92,clear sky,-20.2833,44.2833,La Case Bambou
508,Griffith,US,62.28,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
510,Mogadishu,SO,80.47,few clouds,2.0371,45.3438,Hotel Juba
513,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
515,Itoman,JP,64.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
517,Horsham,GB,60.51,clear sky,51.064,-0.3272,Springfields Hotel
519,Namatanai,PG,79.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
521,Malinao,PH,67.55,overcast clouds,7.5917,124.6889,BARBER'S FARM AND RESORT
524,Waingapu,ID,77.79,light rain,-9.6567,120.2641,Pondok Wisata Elim
532,Plettenberg Bay,ZA,67.6,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
533,Kirakira,SB,79.18,overcast clouds,-10.4544,161.9205,SanBiz Lodge
535,Camana,PE,73.44,broken clouds,-16.6228,-72.7111,Hostal Morales
536,Japura,ID,75.72,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
537,Kabinda,CD,69.26,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
538,Acari,PE,81.01,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
539,Sechura,PE,86.25,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
540,Kalemie,CD,71.11,scattered clouds,-5.9475,29.1947,Mahobilali
544,Honiara,SB,77.27,overcast clouds,-9.4333,159.95,Heritage Park Hotel
546,Anupgarh,IN,77.07,clear sky,29.1911,73.2086,Sonu Bansal
