City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Gambela,ET,8.25,34.5833,87.19,26,8,3.24,clear sky
104,Lakes Entrance,AU,-37.8811,147.981,52.88,88,100,5.88,overcast clouds
105,Bogovarovo,RU,58.9785,47.0246,27.57,94,99,4.65,overcast clouds
106,Garowe,SO,8.4054,48.4845,79.11,63,63,13.85,broken clouds
107,Port Elizabeth,ZA,-33.918,25.5701,66.09,94,75,14.97,broken clouds
108,Fort Dodge,US,42.4975,-94.168,37.38,80,100,13.8,overcast clouds
109,Sivaki,RU,52.6333,126.75,9.84,98,100,3.78,overcast clouds
110,Lorengau,PG,-2.0226,147.2712,81.19,75,100,5.53,overcast clouds
111,Cayenne,GF,4.9333,-52.3333,79.09,1,75,9.22,broken clouds
112,Viransehir,TR,37.2353,39.7631,40.91,88,81,2.68,broken clouds
113,Rafsanjan,IR,30.4067,55.9939,68.61,13,100,6.38,overcast clouds
114,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,75,4.27,broken clouds
115,Lasa,IT,46.6166,10.7002,49.08,68,2,0.89,clear sky
116,Sayyan,YE,15.1718,44.3244,63.48,53,5,3.44,clear sky
117,Mar Del Plata,AR,-38.0023,-57.5575,71.62,100,40,13.0,scattered clouds
118,Bathurst,AU,-33.4166,149.5806,62.83,87,100,8.5,light rain
119,Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,42,7.0,scattered clouds
120,San Pedro,PH,14.35,121.0167,82.31,83,40,3.44,scattered clouds
121,Phalodi,IN,27.1333,72.3667,79.92,16,0,11.14,clear sky
122,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.76,41,0,14.97,clear sky
123,Oktyabrskiy,RU,54.4815,53.471,34.88,89,100,11.27,overcast clouds
124,Jamestown,US,42.097,-79.2353,42.71,63,100,14.0,overcast clouds
125,Kibala,TD,9.1104,18.3463,91.72,15,100,4.12,overcast clouds
126,Butaritari,KI,3.0707,172.7902,79.7,82,83,14.7,light rain
127,Bluff,NZ,-46.6,168.3333,56.86,85,100,29.97,light rain
128,Maputo,MZ,-25.9653,32.5892,77.23,77,0,11.5,clear sky
129,Muros,ES,42.7762,-9.0603,57.92,77,56,5.97,broken clouds
130,Vao,NC,-22.6667,167.4833,76.91,64,40,11.68,scattered clouds
131,Fukue,JP,32.6881,128.8419,53.08,61,2,12.37,clear sky
132,Bengkulu,ID,-3.8004,102.2655,75.96,86,100,4.29,overcast clouds
133,Charters Towers,AU,-20.1,146.2667,68.11,86,0,6.44,clear sky
134,Santa Fe,AR,-31.6333,-60.7,79.92,78,93,4.0,overcast clouds
135,Hobyo,SO,5.3505,48.5268,80.65,75,0,14.27,clear sky
136,Bara,NG,10.3744,10.7288,87.69,15,95,6.33,overcast clouds
137,Hithadhoo,MV,-0.6,73.0833,83.64,66,0,14.83,clear sky
138,Lavrentiya,RU,65.5833,-171.0,-2.27,75,1,4.43,clear sky
139,Dalvik,IS,65.9702,-18.5286,37.33,93,100,2.95,overcast clouds
140,West Odessa,US,31.8424,-102.4988,58.41,19,0,18.41,clear sky
141,Agua Dulce,MX,18.1333,-94.1333,73.18,78,100,22.77,overcast clouds
142,Ust-Karsk,RU,52.7011,118.8077,7.29,97,89,1.54,overcast clouds
143,Hilo,US,19.7297,-155.09,74.25,89,75,6.91,broken clouds
144,Smithers,CA,54.7804,-127.1743,37.72,75,20,3.44,few clouds
145,Lompoc,US,34.6391,-120.4579,85.01,66,0,8.05,clear sky
146,Port Lincoln,AU,-34.7333,135.8667,58.77,75,7,7.9,clear sky
147,Ahipara,NZ,-35.1667,173.1667,65.82,82,76,14.38,broken clouds
148,Sorong,ID,-0.8833,131.25,78.03,85,100,5.79,light rain
149,Saldanha,ZA,-33.0117,17.9442,68.05,91,54,19.28,broken clouds
150,Iqaluit,CA,63.7506,-68.5145,-0.67,78,100,0.0,overcast clouds
151,Pangnirtung,CA,66.1451,-65.7125,-5.8,77,100,3.44,overcast clouds
152,Caohai,CN,26.8661,104.2841,51.22,90,100,6.55,overcast clouds
153,Port Lavaca,US,28.615,-96.6261,70.12,21,0,10.36,clear sky
154,Pokosnoye,RU,55.5258,101.0536,21.7,89,100,12.3,overcast clouds
155,Kruisfontein,ZA,-34.0033,24.7314,64.89,97,99,5.46,overcast clouds
156,Yulara,AU,-25.2406,130.9889,76.84,44,5,11.5,clear sky
157,Eureka,US,40.8021,-124.1637,53.92,89,97,5.99,overcast clouds
158,Labuhan,ID,-6.8844,112.2051,79.57,86,100,6.53,overcast clouds
159,Cape Town,ZA,-33.9258,18.4232,70.12,76,20,19.57,few clouds
160,Luis Correia,BR,-2.8792,-41.6669,82.4,78,75,8.05,moderate rain
161,Necochea,AR,-38.5473,-58.7368,79.88,45,95,12.06,overcast clouds
162,Chokurdakh,RU,70.6333,147.9167,-4.49,98,100,4.32,overcast clouds
163,Parabel,RU,58.6978,81.4825,18.75,96,100,6.06,overcast clouds
164,Klaksvik,FO,62.2266,-6.589,47.32,94,100,4.9,overcast clouds
165,Ponta Do Sol,PT,32.6667,-17.1,62.71,61,36,11.39,scattered clouds
166,Rio Gallegos,AR,-51.6226,-69.2181,48.25,71,75,4.61,broken clouds
167,Hirara,JP,24.8,125.2833,67.17,75,100,18.21,overcast clouds
168,Ostersund,SE,63.1792,14.6357,41.45,70,42,4.61,scattered clouds
169,Greenville,US,35.6127,-77.3663,70.14,81,100,9.22,overcast clouds
170,Boueni,YT,-12.9025,45.0761,84.18,77,77,12.57,broken clouds
171,Barra Dos Coqueiros,BR,-10.9089,-37.0386,86.02,66,40,13.8,scattered clouds
172,Port Hardy,CA,50.6996,-127.4199,48.2,76,75,3.44,broken clouds
173,Sitka,US,57.0531,-135.33,37.29,87,100,9.22,light rain
174,Petauke,ZM,-14.2426,31.3253,65.43,93,76,4.12,broken clouds
175,Bowen,AU,-20.0167,148.2333,71.58,79,0,6.8,clear sky
176,Rexburg,US,43.826,-111.7897,51.42,53,0,8.05,clear sky
177,Davidson,US,36.1501,-86.7833,66.65,61,75,20.71,broken clouds
178,Gravdal,NO,68.1214,13.5031,42.69,93,75,23.02,moderate rain
179,Lensk,RU,60.7253,114.9278,0.37,100,70,3.06,broken clouds
180,Ilinge,ZA,-31.9768,27.0427,62.6,71,100,12.01,overcast clouds
181,Olafsvik,IS,64.8945,-23.7142,41.54,97,100,15.17,overcast clouds
182,Popondetta,PG,-8.7537,148.2534,73.08,95,40,2.82,scattered clouds
183,Shimanovsk,RU,52.0,127.7,13.93,98,100,2.64,overcast clouds
184,San Jose De Las Lajas,CU,22.9614,-82.1511,86.92,43,43,14.05,scattered clouds
185,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,40,24.16,scattered clouds
186,Mount Isa,AU,-20.7333,139.5,78.57,57,71,1.14,light rain
187,Benguela,AO,-12.5763,13.4055,79.07,86,100,1.59,overcast clouds
188,Tuatapere,NZ,-46.1333,167.6833,55.83,88,100,10.94,overcast clouds
189,Muli,MV,2.9167,73.5667,83.03,67,18,13.0,few clouds
190,Timmins,CA,48.4669,-81.3331,33.62,51,100,12.66,overcast clouds
191,Lumut,MY,4.2323,100.6298,78.82,89,40,2.3,thunderstorm
192,Darhan,MN,49.4867,105.9228,29.46,44,100,5.57,overcast clouds
193,Poltavka,RU,54.3663,71.7632,22.06,88,97,14.79,overcast clouds
194,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,3.78,98,29,2.51,scattered clouds
195,Quepos,CR,9.4236,-84.1652,86.07,68,26,6.62,scattered clouds
196,Caranavi,BO,-15.8167,-67.55,76.26,76,28,2.91,scattered clouds
197,Georgetown,MY,5.4112,100.3354,82.33,87,20,8.05,few clouds
198,Halifax,CA,44.6453,-63.5724,40.68,55,75,21.85,broken clouds
199,Saint George,US,37.1041,-113.5841,64.63,22,0,4.61,clear sky
200,Ayagoz,KZ,47.9714,80.4392,16.68,90,100,16.11,overcast clouds
201,Hovd,MN,48.0056,91.6419,18.16,31,14,0.94,few clouds
202,Isangel,VU,-19.55,169.2667,77.11,94,100,3.44,overcast clouds
203,Olavarria,AR,-36.8927,-60.3225,85.35,29,0,11.9,clear sky
204,Kichera,RU,55.9375,110.0997,12.13,82,100,6.33,overcast clouds
205,Gravelbourg,CA,49.8834,-106.5512,53.87,40,51,13.65,broken clouds
206,Lipari,IT,38.4674,14.954,54.21,57,0,2.21,clear sky
207,Male,MV,4.1748,73.5089,84.15,70,20,9.22,few clouds
208,Nanortalik,GL,60.1432,-45.2371,29.7,76,100,4.16,overcast clouds
209,Cidreira,BR,-30.1811,-50.2056,72.73,76,100,12.77,light rain
210,Carnarvon,AU,-24.8667,113.6333,78.87,73,100,4.61,overcast clouds
211,Ilulissat,GL,69.2167,-51.1,3.22,60,20,5.75,few clouds
212,Iralaya,HN,15.0,-83.2333,83.16,60,21,13.76,few clouds
213,Punta Gorda,US,26.9298,-82.0454,88.0,64,40,16.11,scattered clouds
214,Pisco,PE,-13.7,-76.2167,75.25,57,0,6.91,clear sky
215,Saint-Pierre,RE,-21.3393,55.4781,80.28,83,17,16.11,few clouds
216,Nara,JP,34.6851,135.8049,44.49,84,92,3.36,overcast clouds
217,Constitucion,CL,-35.3333,-72.4167,60.03,54,6,13.0,clear sky
218,Clyde River,CA,70.4692,-68.5914,-7.37,84,75,3.44,light snow
219,Rongcheng,CN,30.634,117.8517,45.9,92,38,3.0,scattered clouds
220,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,71,75,16.11,broken clouds
221,Awbari,LY,26.5921,12.7805,57.92,29,2,12.26,clear sky
222,Talnakh,RU,69.4865,88.3972,6.21,84,100,8.95,overcast clouds
223,Vedea,RO,43.7833,25.7833,45.91,34,0,2.13,clear sky
224,Port-Gentil,GA,-0.7193,8.7815,82.36,83,20,8.05,few clouds
225,Provideniya,RU,64.3833,-173.3,8.31,72,0,5.21,clear sky
226,Namibe,AO,-15.1961,12.1522,75.45,83,96,6.31,overcast clouds
227,Torbay,CA,47.6666,-52.7314,35.28,81,100,4.0,overcast clouds
228,Puerto Colombia,CO,10.9878,-74.9547,89.69,68,7,21.14,clear sky
229,Kaitangata,NZ,-46.2817,169.8464,58.62,82,100,11.48,overcast clouds
230,Tautira,PF,-17.7333,-149.15,80.01,75,63,13.27,broken clouds
231,Ayan,RU,56.45,138.1667,10.35,86,3,7.49,clear sky
232,Kenora,CA,49.8167,-94.4337,38.37,70,75,13.8,broken clouds
233,Padang,ID,-0.9492,100.3543,75.96,76,7,4.45,clear sky
234,Abu Samrah,SY,35.3029,37.1841,46.08,76,100,7.27,overcast clouds
235,Flin Flon,CA,54.7682,-101.865,40.84,56,100,10.36,overcast clouds
236,Airai,TL,-8.9266,125.4092,59.22,93,96,0.81,moderate rain
237,Yumen,CN,40.2833,97.2,40.3,43,100,13.51,overcast clouds
238,Surat,IN,21.1667,72.8333,84.18,37,40,5.75,scattered clouds
239,Aklavik,CA,68.2191,-135.0107,-13.0,70,100,13.8,overcast clouds
240,Sonoita,MX,31.85,-112.8333,74.79,6,0,21.81,clear sky
241,Kroya,ID,-7.6331,109.2461,77.36,89,100,1.68,overcast clouds
242,Saint-Francois,FR,46.4154,3.9054,54.84,41,0,6.91,clear sky
243,Lagoa,PT,39.05,-27.9833,60.03,67,100,9.62,overcast clouds
244,Pasighat,IN,28.0667,95.3333,72.14,58,28,4.74,scattered clouds
245,Mount Gambier,AU,-37.8333,140.7667,48.11,93,100,0.0,overcast clouds
246,Springbok,ZA,-29.6643,17.8865,65.21,68,0,4.9,clear sky
247,Beloomut,RU,54.9448,39.3394,33.4,95,100,6.17,overcast clouds
248,Berezovyy,RU,51.6667,135.7,6.82,94,18,3.74,few clouds
249,El Monte,US,34.0686,-118.0276,88.63,23,0,8.05,clear sky
250,Slave Lake,CA,55.2834,-114.769,48.18,49,0,5.75,clear sky
251,Dese,ET,11.1333,39.6333,58.26,74,79,2.08,light rain
252,Fairbanks,US,64.8378,-147.7164,9.3,52,42,1.01,scattered clouds
253,Evensk,RU,61.95,159.2333,20.7,96,100,3.33,snow
254,Lanas,PH,12.0495,121.9185,81.84,80,7,11.12,clear sky
255,Sivas,TR,39.7916,37.0019,27.23,100,75,8.05,broken clouds
256,Souillac,MU,-20.5167,57.5167,80.98,83,40,11.5,scattered clouds
257,Araouane,ML,18.9048,-3.5265,81.57,9,0,6.46,clear sky
258,Mariental,NA,-24.6333,17.9667,73.24,54,83,12.66,light rain
259,Tombouctou,ML,20.0,-3.0,82.06,7,0,11.88,clear sky
260,Demba,CD,-5.51,22.2667,75.58,69,94,3.65,overcast clouds
261,Verkhnetulomskiy,RU,68.6073,31.7962,26.73,95,100,2.51,light snow
262,Lewisporte,CA,49.2499,-55.0482,33.55,95,100,11.59,light snow
263,Geraldton,AU,-28.7667,114.6,75.61,33,0,12.66,clear sky
264,East London,ZA,-33.0153,27.9116,74.34,83,0,5.75,clear sky
265,Entre Rios,BR,-11.9419,-38.0844,80.94,72,46,8.5,scattered clouds
266,Alexandria,EG,31.2156,29.9553,57.16,67,40,11.5,scattered clouds
267,Iraucuba,BR,-3.7461,-39.7833,78.96,66,100,10.69,overcast clouds
268,Seoul,KR,37.5683,126.9778,43.99,73,0,8.05,clear sky
269,Freeport,US,40.6576,-73.5832,47.52,47,0,11.5,clear sky
270,Esso,RU,55.9333,158.7,5.61,97,97,3.89,overcast clouds
271,Lawrenceburg,US,38.0373,-84.8966,72.18,55,75,26.46,broken clouds
272,Monrovia,LR,6.3005,-10.7969,80.87,80,66,8.32,broken clouds
273,Hambantota,LK,6.1241,81.1185,77.34,100,20,2.3,few clouds
274,Ormara,PK,25.2088,64.6357,75.99,79,0,15.5,clear sky
275,Tabou,CI,4.423,-7.3528,80.38,83,100,5.1,light rain
276,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,54,20,17.27,few clouds
277,Koshurnikovo,RU,54.1667,93.3,6.76,96,72,1.77,broken clouds
278,North Platte,US,41.1239,-100.7654,43.12,40,20,27.0,few clouds
279,Ugoofaaru,MV,5.6667,73.0,82.8,65,1,10.38,clear sky
280,Les Cayes,HT,18.2,-73.75,84.0,59,2,15.48,clear sky
281,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,11.5,scattered clouds
282,Praya,CV,14.9215,-23.5087,73.94,60,20,21.85,few clouds
283,Husavik,IS,66.0449,-17.3389,34.43,85,96,7.49,overcast clouds
284,Basoko,CD,1.2391,23.616,74.93,85,100,2.15,light rain
285,Bacolod,PH,10.6667,122.95,78.94,78,6,7.99,clear sky
286,Ibotirama,BR,-12.1853,-43.2206,92.01,34,98,3.18,overcast clouds
287,Vila Velha,BR,-20.3297,-40.2925,82.35,69,40,10.36,scattered clouds
288,Whitehorse,CA,60.7161,-135.0538,35.1,71,75,13.8,broken clouds
289,Jhelum,PK,32.9331,73.7264,73.45,23,29,2.28,scattered clouds
290,Talaya,RU,61.3833,152.75,-3.66,99,100,0.78,overcast clouds
291,La Ronge,CA,55.1001,-105.2842,50.25,32,75,10.36,broken clouds
292,Shimoda,JP,34.6667,138.95,41.11,86,98,4.61,overcast clouds
293,Svetlogorsk,BY,52.6333,29.7333,46.78,62,100,6.17,overcast clouds
294,Metro,ID,-5.1131,105.3067,74.97,84,99,3.22,overcast clouds
295,Walvis Bay,NA,-22.9575,14.5053,72.55,64,2,5.75,light rain
296,Punta Alta,AR,-38.8759,-62.0736,63.37,88,75,18.41,thunderstorm
297,Srednekolymsk,RU,67.45,153.6833,-5.78,100,100,1.88,overcast clouds
298,Teya,RU,60.3778,92.6267,-0.9,100,91,3.02,overcast clouds
299,Moose Factory,CA,51.2585,-80.6094,30.2,69,0,13.8,clear sky
300,Bontang,ID,0.1333,117.5,79.72,84,100,5.48,overcast clouds
301,Bay Roberts,CA,47.5999,-53.2648,36.05,72,86,8.01,overcast clouds
302,Beringovskiy,RU,63.05,179.3167,10.13,97,100,3.2,overcast clouds
303,Nong Kung Si,TH,16.65,103.3,82.56,99,71,4.83,light rain
304,Esperance,AU,-33.8667,121.9,57.04,76,46,5.61,scattered clouds
305,Savinka,RU,50.0785,47.0994,31.19,96,100,6.38,overcast clouds
306,Dunedin,NZ,-45.8742,170.5036,58.5,84,46,4.63,scattered clouds
307,Nisia Floresta,BR,-6.0911,-35.2086,88.18,67,97,11.23,overcast clouds
308,Biak,ID,-0.9131,122.8766,72.72,85,100,1.32,overcast clouds
309,Meadow Lake,US,34.8014,-106.5436,43.39,68,4,9.19,clear sky
310,Gat,IL,31.61,34.7642,51.82,100,88,4.03,overcast clouds
311,Svetlaya,RU,46.5389,138.3297,30.81,82,100,3.04,overcast clouds
312,Fortuna,US,40.5982,-124.1573,53.65,95,100,8.05,overcast clouds
313,Pulivendla,IN,14.4167,78.2333,84.76,51,48,8.43,scattered clouds
314,Bima,ID,-8.4667,118.7167,75.97,95,100,1.99,overcast clouds
315,Tiksi,RU,71.6872,128.8694,-14.55,100,51,3.91,broken clouds
316,Cartagena,CO,10.3997,-75.5144,87.42,62,20,18.41,few clouds
317,La Romana,DO,18.4273,-68.9728,88.16,45,40,9.22,scattered clouds
318,Badiraguato,MX,25.3667,-107.5167,81.7,10,0,6.31,clear sky
319,Lima,PE,-12.0432,-77.0282,72.39,79,0,10.36,clear sky
320,Ahuimanu,US,21.4447,-157.8378,78.51,76,40,13.8,scattered clouds
321,Burtunay,RU,42.9886,46.6303,23.36,75,2,6.69,clear sky
322,Atbasar,KZ,51.8,68.3333,27.86,88,100,15.64,overcast clouds
323,Xai-Xai,MZ,-25.0519,33.6442,72.9,86,0,8.28,clear sky
324,Nortelandia,BR,-14.4547,-56.8028,88.05,63,27,6.33,scattered clouds
325,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,100,100,16.11,fog
326,Srandakan,ID,-7.9386,110.2506,76.91,90,100,3.98,overcast clouds
327,Rajshahi,BD,24.3667,88.6,80.28,49,6,11.43,clear sky
328,Verkhoturye,RU,58.8627,60.8054,35.26,76,98,15.93,overcast clouds
329,Samal,PH,7.0744,125.7083,78.87,89,75,4.61,broken clouds
330,Rurrenabaque,BO,-14.4413,-67.5278,89.29,79,40,6.91,scattered clouds
331,Rumford,US,44.5537,-70.5509,49.95,35,61,3.38,broken clouds
332,Kloulklubed,PW,7.0419,134.2556,77.5,76,70,12.39,broken clouds
333,Grand Gaube,MU,-20.0064,57.6608,81.0,82,60,1.99,broken clouds
334,Manavalakurichi,IN,8.1333,77.3,80.82,83,6,8.46,clear sky
335,San Quintin,MX,30.4833,-115.95,71.46,45,0,7.52,clear sky
336,Mantua,IT,45.1667,10.7833,57.81,36,0,1.99,clear sky
337,Salalah,OM,17.0151,54.0924,78.89,73,0,1.14,clear sky
338,Sao Filipe,CV,14.8961,-24.4956,71.35,74,0,10.49,clear sky
339,Lichuan,CN,30.3,108.85,45.75,97,95,3.29,overcast clouds
340,Erenhot,CN,43.6475,111.9767,37.17,52,100,9.95,overcast clouds
341,Naze,JP,28.3667,129.4833,58.12,66,42,15.7,scattered clouds
342,Diego De Almagro,CL,-26.3667,-70.05,80.47,18,0,11.9,clear sky
343,Ferme-Neuve,CA,46.7001,-75.4493,36.57,70,100,8.84,overcast clouds
344,Chapais,CA,49.7834,-74.8492,33.58,67,38,9.51,scattered clouds
345,Orlik,RU,52.5178,99.825,10.63,95,100,2.93,light snow
346,Moron,AR,-34.6534,-58.6198,80.49,78,98,9.13,overcast clouds
347,Asau,RO,46.4333,26.4,43.95,45,0,5.19,clear sky
